Provider_ID,Measure,Rate,Footnote,Start_Quarter,End_Quarter
010001,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010001,Air Embolism,0.000,,3Q2022,2Q2024
010001,Blood Incompatibility,0.000,,3Q2022,2Q2024
010001,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.734,,3Q2022,2Q2024
010005,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010005,Air Embolism,0.000,,3Q2022,2Q2024
010005,Blood Incompatibility,0.000,,3Q2022,2Q2024
010005,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.347,,3Q2022,2Q2024
010006,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010006,Air Embolism,0.000,,3Q2022,2Q2024
010006,Blood Incompatibility,0.000,,3Q2022,2Q2024
010006,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.145,,3Q2022,2Q2024
010007,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010007,Air Embolism,0.000,,3Q2022,2Q2024
010007,Blood Incompatibility,0.000,,3Q2022,2Q2024
010007,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010008,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010008,Air Embolism,0.000,,3Q2022,2Q2024
010008,Blood Incompatibility,0.000,,3Q2022,2Q2024
010008,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010011,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010011,Air Embolism,0.000,,3Q2022,2Q2024
010011,Blood Incompatibility,0.000,,3Q2022,2Q2024
010011,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.415,,3Q2022,2Q2024
010012,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010012,Air Embolism,0.000,,3Q2022,2Q2024
010012,Blood Incompatibility,0.000,,3Q2022,2Q2024
010012,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010016,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010016,Air Embolism,0.000,,3Q2022,2Q2024
010016,Blood Incompatibility,0.000,,3Q2022,2Q2024
010016,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010018,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010018,Air Embolism,0.000,,3Q2022,2Q2024
010018,Blood Incompatibility,0.000,,3Q2022,2Q2024
010018,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010019,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010019,Air Embolism,0.000,,3Q2022,2Q2024
010019,Blood Incompatibility,0.000,,3Q2022,2Q2024
010019,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.324,,3Q2022,2Q2024
010021,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010021,Air Embolism,0.000,,3Q2022,2Q2024
010021,Blood Incompatibility,0.000,,3Q2022,2Q2024
010021,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010022,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010022,Air Embolism,0.000,,3Q2022,2Q2024
010022,Blood Incompatibility,0.000,,3Q2022,2Q2024
010022,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010023,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010023,Air Embolism,0.000,,3Q2022,2Q2024
010023,Blood Incompatibility,0.000,,3Q2022,2Q2024
010023,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.197,,3Q2022,2Q2024
010024,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010024,Air Embolism,0.000,,3Q2022,2Q2024
010024,Blood Incompatibility,0.000,,3Q2022,2Q2024
010024,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.210,,3Q2022,2Q2024
010029,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010029,Air Embolism,0.000,,3Q2022,2Q2024
010029,Blood Incompatibility,0.000,,3Q2022,2Q2024
010029,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010033,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010033,Air Embolism,0.000,,3Q2022,2Q2024
010033,Blood Incompatibility,0.000,,3Q2022,2Q2024
010033,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.669,,3Q2022,2Q2024
010034,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010034,Air Embolism,0.000,,3Q2022,2Q2024
010034,Blood Incompatibility,0.000,,3Q2022,2Q2024
010034,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010035,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010035,Air Embolism,0.000,,3Q2022,2Q2024
010035,Blood Incompatibility,0.000,,3Q2022,2Q2024
010035,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.409,,3Q2022,2Q2024
010036,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010036,Air Embolism,0.000,,3Q2022,2Q2024
010036,Blood Incompatibility,0.000,,3Q2022,2Q2024
010036,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.741,,3Q2022,2Q2024
010039,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010039,Air Embolism,0.048,,3Q2022,2Q2024
010039,Blood Incompatibility,0.000,,3Q2022,2Q2024
010039,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.675,,3Q2022,2Q2024
010040,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010040,Air Embolism,0.000,,3Q2022,2Q2024
010040,Blood Incompatibility,0.000,,3Q2022,2Q2024
010040,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010044,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010044,Air Embolism,0.000,,3Q2022,2Q2024
010044,Blood Incompatibility,0.000,,3Q2022,2Q2024
010044,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",4.149,,3Q2022,2Q2024
010045,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010045,Air Embolism,0.000,,3Q2022,2Q2024
010045,Blood Incompatibility,0.000,,3Q2022,2Q2024
010045,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010046,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010046,Air Embolism,0.000,,3Q2022,2Q2024
010046,Blood Incompatibility,0.000,,3Q2022,2Q2024
010046,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010049,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010049,Air Embolism,0.000,,3Q2022,2Q2024
010049,Blood Incompatibility,0.000,,3Q2022,2Q2024
010049,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.706,,3Q2022,2Q2024
010051,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010051,Air Embolism,0.000,,3Q2022,2Q2024
010051,Blood Incompatibility,0.000,,3Q2022,2Q2024
010051,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010052,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010052,Air Embolism,0.000,,3Q2022,2Q2024
010052,Blood Incompatibility,0.000,,3Q2022,2Q2024
010052,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010055,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010055,Air Embolism,0.000,,3Q2022,2Q2024
010055,Blood Incompatibility,0.000,,3Q2022,2Q2024
010055,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.168,,3Q2022,2Q2024
010056,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010056,Air Embolism,0.000,,3Q2022,2Q2024
010056,Blood Incompatibility,0.000,,3Q2022,2Q2024
010056,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.894,,3Q2022,2Q2024
010058,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010058,Air Embolism,0.000,,3Q2022,2Q2024
010058,Blood Incompatibility,0.000,,3Q2022,2Q2024
010058,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2022,2Q2024
010059,Foreign Object Retained After Surgery,0.000,,3Q2022,2Q2024
010059,Air Embolism,0.000,,3Q2022,2Q2024
010059,Blood Incompatibility,0.000,,3Q2022,2Q2024
