Provider_ID,Measure,Rate
010001,"Foreign Object Retained After Surgery",0
010001,"Air Embolism",0
010001,"Blood Incompatibility",0
010001,"Falls and Trauma",0.734
010005,"Foreign Object Retained After Surgery",0
010005,"Air Embolism",0
010005,"Blood Incompatibility",0
010005,"Falls and Trauma",0.347
010006,"Foreign Object Retained After Surgery",0
010006,"Air Embolism",0
010006,"Blood Incompatibility",0
010006,"Falls and Trauma",0.145
010007,"Foreign Object Retained After Surgery",0
010007,"Air Embolism",0
010007,"Blood Incompatibility",0
010007,"Falls and Trauma",0
010008,"Foreign Object Retained After Surgery",0
010008,"Air Embolism",0
010008,"Blood Incompatibility",0
010008,"Falls and Trauma",0
010011,"Foreign Object Retained After Surgery",0
010011,"Air Embolism",0
010011,"Blood Incompatibility",0
010011,"Falls and Trauma",0.415
010012,"Foreign Object Retained After Surgery",0
010012,"Air Embolism",0
010012,"Blood Incompatibility",0
010012,"Falls and Trauma",0
010016,"Foreign Object Retained After Surgery",0
010016,"Air Embolism",0
010016,"Blood Incompatibility",0
010016,"Falls and Trauma",0
010018,"Foreign Object Retained After Surgery",0
010018,"Air Embolism",0
010018,"Blood Incompatibility",0
010018,"Falls and Trauma",0
010019,"Foreign Object Retained After Surgery",0
010019,"Air Embolism",0
010019,"Blood Incompatibility",0
010019,"Falls and Trauma",0.324
010021,"Foreign Object Retained After Surgery",0
010021,"Air Embolism",0
010021,"Blood Incompatibility",0
010021,"Falls and Trauma",0
010022,"Foreign Object Retained After Surgery",0
010022,"Air Embolism",0
010022,"Blood Incompatibility",0
010022,"Falls and Trauma",0
010023,"Foreign Object Retained After Surgery",0
010023,"Air Embolism",0
010023,"Blood Incompatibility",0
010023,"Falls and Trauma",0.197
010024,"Foreign Object Retained After Surgery",0
010024,"Air Embolism",0
010024,"Blood Incompatibility",0
010024,"Falls and Trauma",0.21
010029,"Foreign Object Retained After Surgery",0
010029,"Air Embolism",0
010029,"Blood Incompatibility",0
010029,"Falls and Trauma",0
010033,"Foreign Object Retained After Surgery",0
010033,"Air Embolism",0
010033,"Blood Incompatibility",0
010033,"Falls and Trauma",0.669
